customer_id,invoice_id,list_of_goods
994,1268032,"['ratchet & clank 2', 'megaman zero', 'eggplant', 'body spray', 'barbecue sauce', 'salt', 'oil', 'escalope', 'protein bar']"
7290,6370295,"['seabass', 'ketchup', 'fresh bread', 'olive oil', 'cooking oil', 'gums', 'barbecue sauce', 'oil', 'muffins']"
6273,1102271,"['avocado', 'chocolate bread', 'meatballs', 'shallot', 'candy bars', 'nonfat milk', 'portal 2', 'cookies', 'cereals', 'muffins']"
147,1811593,"['pokemon shield', 'pancakes', 'whole wheat rice', 'olive oil', 'grated cheese', 'babies food', 'cologne', 'yogurt cake', 'sandwich', 'cooking oil', 'meatballs', 'oil', 'ketchup', 'energy drink']"
8801,6791798,"['soup', 'eggs', 'avocado', 'candy bars', 'oil', 'energy bar', 'cereals']"
8596,9497044,"['cake', 'parmesan cheese', 'megaman zero 3', 'cooking oil', 'hot dogs', 'gums', 'candy bars', 'nonfat milk', 'oil', 'cottage cheese', 'muffins']"
6125,1512650,"['cologne', 'mayonnaise', 'grated cheese', 'oil']"
5614,2782432,"['almonds', 'shower gel', 'chocolate bread', 'french fries', 'cooking oil', 'gums', 'light mayo', 'oil', 'energy bar', 'escalope', 'babies food']"
4811,11350202,"['fresh bread', 'cake', 'olive oil', 'chutney', 'bluetooth headphones', 'salad', 'oil', 'chocolate']"
2874,2270880,"['cake', 'french fries', 'cooking oil', 'yams', 'mint', 'burger sauce', 'oil', 'oatmeal', 'cream', 'french wine', 'ketchup', 'strong cheese', 'toothpaste']"
5762,7054233,"['flax seed', 'cake', 'megaman zero', 'avocado', 'zucchini', 'honey', 'oil', 'melons', 'cereals']"
9406,2730072,"['pet food', 'soup', 'eggs', 'cake', 'napkins', 'olive oil', 'yogurt cake', 'cooking oil', 'candy bars', 'oil', 'french wine', 'antioxydant juice']"
3960,6719912,"['yogurt cake', 'cooking oil', 'brownies', 'oil']"
6624,11294738,"['cake', 'spaghetti', 'black tea', 'green beans', 'whole weat flour', 'shrimp', 'hand protein bar', 'gluten free bar', 'candy bars', 'pasta', 'oil', 'final fantasy XX', 'salmon', 'muffins']"
1193,5087591,"['fresh bread', 'cake', 'fromage blanc', 'spaghetti', 'cooking oil', 'pepper', 'gums', 'oil', 'tooth brush']"
6824,570553,"['cake', 'napkins', 'cooking oil', 'gums', 'candy bars', 'oil']"
10072,11597936,"['chicken', 'flax seed', 'tomato juice', 'tomatoes', 'mint green tea', 'avocado', 'bacon', 'ham', 'asparagus', 'ratchet & clank 3', 'melons', 'cauliflower', 'carrots']"
10281,4930857,"['pet food', 'soup', 'eggs', 'mint green tea', 'sandwich', 'cooking oil', 'burger sauce', 'oil', 'cookies']"
3225,5896683,"['napkins', 'chocolate bread', 'ham', 'cooking oil', 'rice', 'oil', 'tea', 'cereals', 'babies food']"
5030,8475502,"['eggs', 'fresh bread', 'napkins', 'zucchini', 'oil', 'mint', 'ketchup']"
10360,5132796,"['flax seed', 'tomatoes', 'cooking oil', 'cotton buds', 'iMac', 'pokemon violet', 'gums', 'candy bars', 'brownies', 'oil', 'cereals', 'muffins']"
4827,3452912,"['pet food', 'spinach', 'toilet paper', 'fresh bread', 'shower gel', 'soup', 'ratchet & clank', 'gums', 'candy bars', 'rice', 'mushroom cream sauce', 'oil', 'shampoo', 'ketchup']"
6945,5480466,"['soup', 'fresh bread', 'cake', 'fromage blanc', 'cooking oil', 'muffins', 'oil', 'cereals']"
10134,2412373,"['almonds', 'cake', 'whole wheat rice', 'grated cheese', 'cooking oil', 'mayonnaise', 'honey', 'oil', 'melons', 'tooth brush']"
7466,6455577,"['beer', 'burgers', 'body spray', 'whole wheat pasta', 'muffins', 'light mayo', 'oil', 'tooth brush', 'ketchup', 'eggplant']"
2920,173609,"['soup', 'cake', 'spaghetti', 'canned_tuna', 'blueberries', 'cooking oil', 'milk', 'rice', 'light mayo', 'oil', 'mayonnaise']"
82,4148962,"['toilet paper', 'cake', 'spaghetti', 'fresh bread', 'olive oil', 'bluetooth headphones', 'cooking oil', 'milk', 'iphone 8', 'gums', 'candy bars', 'brownies', 'nonfat milk', 'oil', 'phone car charger']"
