customer_id,invoice_id,list_of_goods
7980,6494405,"['fresh bread', 'cake', 'grated cheese', 'french fries', 'whole wheat pasta', 'candy bars', 'beats headphones', 'half-life 2', 'phone car charger', 'cream', 'cereals', 'babies food']"
10369,3953455,"['eggs', 'fresh bread', 'cooking oil', 'zucchini', 'hot dogs', 'oil', 'mayonnaise', 'cream', 'chicken', 'ketchup', 'babies food']"
7956,9820975,"['fresh bread', 'whole wheat rice', 'bacon', 'sparkling water', 'gums', 'cereals', 'babies food']"
5099,1557185,"['soup', 'fresh bread', 'whole weat flour', 'metroid fusion', 'sandwich', 'hot dogs', 'cookies']"
7034,9149243,"['pokemon shield', 'whole wheat rice', 'olive oil', 'butter', 'babies food', 'whole weat flour', 'cooking oil', 'energy bar', 'ketchup', 'carrots']"
7013,9937385,"['seabass', 'napkins', 'cooking oil', 'milk', 'metroid prime', 'gums', 'pasta', 'oil', 'babies food']"
10403,1584836,"['pet food', 'cake', 'cooking oil', 'shampoo', 'oatmeal', 'cream']"
2873,2646714,"['napkins', 'parmesan cheese', 'cologne', 'milk', 'meatballs', 'muffins', 'babies food']"
10441,5259563,"['pet food', 'parmesan cheese', 'turkey', 'gums', 'candy bars', 'burger sauce', 'oil', 'melons', 'babies food']"
5175,6855350,"['spaghetti', 'whole weat flour', 'body spray', 'cooking oil', 'gums', 'candy bars', 'pasta', 'fresh tuna', 'phone charger', 'babies food']"
122,9893573,"['fresh bread', 'olive oil', 'spaghetti', 'deodorant', 'body spray', 'french fries', 'minecraft', 'milk', 'gums', 'mayonnaise', 'babies food']"
5224,8410807,"['fresh bread', 'olive oil', 'extra dark chocolate', 'bacon', 'babies food', 'french fries', 'megaman zero 2', 'cooking oil', 'iMac', 'cauliflower', 'ketchup', 'red wine']"
5842,173852,"['flax seed', 'almonds', 'olive oil', 'bluetooth headphones', 'cooking oil', 'corn', 'metroid prime', 'gums', 'salt', 'babies food', 'toothpaste']"
8177,1839513,"['beer', 'pancakes', 'cake', 'napkins', 'olive oil', 'deodorant', 'cooking oil', 'pepper', 'candy bars', 'oil', 'babies food', 'strawberries']"
7706,7302139,"['rice', 'cake', 'cooking oil', 'babies food']"
8286,4432232,"['flax seed', 'vacuum cleaner', 'french fries', 'ham', 'cooking oil', 'oil', 'cookies', 'babies food']"
4581,10534443,"['tomato juice', 'cake', 'asparagus', 'brownies', 'half-life 2', 'cream', 'babies food']"
256,3655391,"['tomato sauce', 'napkins', 'olive oil', 'cooking oil', 'cotton buds', 'gums', 'candy bars', 'iPad', 'cereals', 'ketchup', 'babies food']"
9220,10554807,"['soup', 'cake', 'tomato sauce', 'chocolate bread', 'megaman zero 2', 'yogurt cake', 'energy drink', 'milk', 'hot dogs', 'candy bars', 'airpods', 'cereals', 'babies food']"
8222,10953472,"['ratchet & clank 2', 'fresh bread', 'spaghetti', 'green beans', 'whole weat flour', 'megaman zero 3', 'yogurt cake', 'airpods', 'portal 2', 'babies food']"
1678,10023079,"['eggs', 'cake', 'spaghetti', 'green beans', 'cooking oil', 'gums', 'mayonnaise', 'muffins', 'babies food']"
9337,7412792,"['pet food', 'soup', 'almonds', 'olive oil', 'canned_tuna', 'yogurt cake', 'milk', 'gums', 'candy bars', 'phone charger', 'black beer', 'muffins', 'babies food']"
6397,10614525,"['spaghetti', 'cooking oil', 'gums', 'nonfat milk', 'cookies', 'muffins', 'babies food']"
2012,7719898,"['grated cheese', 'spaghetti', 'french fries', 'sandwich', 'megaman zero 3', 'cotton buds', 'hot dogs', 'muffins', 'tooth brush', 'cereals', 'babies food']"
2147,7548084,"['spinach', 'cake', 'megaman zero', 'butter', 'french fries', 'yogurt cake', 'cooking oil', 'zucchini', 'mashed potato', 'shallot', 'candy bars', 'samsung galaxy 10', 'cookies', 'chicken', 'muffins', 'babies food']"
10127,8562123,"['cake', 'whole weat flour', 'mineral water', 'frozen vegetables', 'gums', 'megaman zero 4', 'oil', 'razor', 'babies food']"
7633,8500511,"['fresh bread', 'olive oil', 'cake', 'avocado', 'cooking oil', 'soda', 'airpods', 'oil', 'oatmeal', 'muffins', 'babies food']"
498,3155910,"['flax seed', 'butter', 'avocado', 'cologne', 'rice', 'gums', 'muffins', 'babies food']"
9694,7577570,"['beer', 'fresh bread', 'cake', 'butter', 'chocolate bread', 'cologne', 'carrots', 'mashed potato', 'rice', 'pepper', 'babies food']"
5014,9214113,"['tomato sauce', 'olive oil', 'tomatoes', 'parmesan cheese', 'cologne', 'french fries', 'bluetooth headphones', 'cooking oil', 'milk', 'cookies', 'babies food']"
5576,3277077,"['tomatoes', 'olive oil', 'babies food', 'yogurt cake', 'cotton buds', 'yams', 'strong cheese']"
2329,9327813,"['pet food', 'tea', 'napkins', 'olive oil', 'megaman zero 2', 'cooking oil', 'minecraft', 'hot dogs', 'candy bars', 'chicken', 'babies food']"
140,12121164,"['pet food', 'flax seed', 'cake', 'shower gel', 'megaman zero', 'green beans', 'cooking oil', 'milk', 'iphone 8', 'shampoo', 'cream', 'ketchup', 'babies food']"
7615,11357364,"['strong cheese', 'cake', 'french fries', 'cookies', 'cooking oil', 'corn', 'barbecue sauce', 'oatmeal', 'cottage cheese', 'chicken', 'muffins', 'babies food']"
9277,3621854,"['pet food', 'cake', 'whole wheat rice', 'olive oil', 'gums', 'candy bars', 'green grapes', 'babies food']"
7033,3102397,"['olive oil', 'napkins', 'asparagus', 'cereals', 'babies food', 'eggplant']"
8767,2357443,"['pet food', 'fromage blanc', 'cologne', 'french fries', 'whole weat flour', 'babies food']"
9480,8367978,"['cake', 'napkins', 'vacuum cleaner', 'candy bars', 'soda', 'oil', 'babies food']"
8054,11667044,"['portal', 'yogurt cake', 'sandwich', 'cotton buds', 'carrots', 'candy bars', 'pasta', 'cottage cheese', 'babies food', 'eggplant']"
6719,11699557,"['blueberries', 'yogurt cake', 'airpods', 'mayonnaise', 'babies food']"
7874,10538588,"['soup', 'fromage blanc', 'napkins', 'cake', 'babies food', 'cooking oil', 'escalope', 'ratchet & clank', 'gums', 'candy bars', 'ketchup', 'strong cheese']"
9550,5278224,"['pet food', 'strong cheese', 'cake', 'whole wheat rice', 'yogurt cake', 'cooking oil', 'energy drink', 'iMac', 'candy bars', 'mayonnaise', 'cookies', 'babies food']"
6669,4414022,"['pet food', 'eggs', 'cake', 'whole wheat rice', 'napkins', 'butter', 'ham', 'cooking oil', 'hand protein bar', 'candy bars', 'babies food']"
5522,10532771,"['fresh bread', 'napkins', 'cooking oil', 'asparagus', 'candy bars', 'soda', 'strawberries']"
9642,8653563,"['soup', 'cake', 'napkins', 'olive oil', 'metroid prime', 'turkey', 'candy bars', 'oil', 'cream', 'babies food']"
2824,1750946,"['whole wheat rice', 'deodorant', 'french fries', 'cooking oil', 'zucchini', 'yams', 'ratchet & clank 3', 'final fantasy XXII']"
3104,1688152,"['flax seed', 'olive oil', 'babies food', 'cooking oil', 'turkey', 'ratchet & clank 3', 'honey', 'portal 2', 'strong cheese', 'toothpaste']"
10431,5546466,"['soup', 'cake', 'extra dark chocolate', 'sandwich', 'cooking oil', 'metroid prime', 'salad', 'water spray', 'mayonnaise', 'muffins', 'babies food']"
2221,6103214,"['fresh bread', 'cake', 'butter', 'tomato sauce', 'fromage blanc', 'chocolate bread', 'grated cheese', 'cooking oil', 'asparagus', 'muffins', 'babies food']"
2126,3148264,"['ratchet & clank 2', 'spaghetti', 'extra dark chocolate', 'whole weat flour', 'gums', 'oil', 'cream', 'samsung galaxy 10', 'babies food', 'toothpaste']"
224,789582,"['eggs', 'cooking oil', 'low fat yogurt', 'muffins', 'babies food']"
8214,6523667,"['toilet paper', 'tomato sauce', 'spaghetti', 'olive oil', 'fresh bread', 'almonds', 'ham', 'rice', 'cottage cheese', 'samsung galaxy 10', 'babies food']"
4952,8036448,"['soup', 'tomatoes', 'blueberries', 'cotton buds', 'shrimp', 'mushroom cream sauce', 'melons', 'babies food']"
8638,10717188,"['beer', 'soup', 'parmesan cheese', 'yogurt cake', 'cooking oil', 'candy bars', 'oil', 'muffins', 'babies food']"
6053,6931547,"['eggs', 'fromage blanc', 'green beans', 'cologne', 'frozen vegetables', 'gums', 'pasta', 'salmon', 'muffins', 'babies food']"
