customer_id,invoice_id,list_of_goods
1470,7304606,"['napkins', 'cooking oil', 'oil', 'black beer', 'muffins']"
5133,10678435,"['cooking oil', 'gums', 'oil', 'oatmeal', 'red wine']"
6069,5743019,"['google tablet', 'trout', 'whole weat flour', 'vegetables mix', 'burger sauce', 'oil', 'melons', 'cookies', 'ketchup']"
8351,11051592,"['soup', 'cake', 'napkins', 'cooking oil', 'oil', 'herb & pepper']"
6069,245116,"['seabass', 'soup', 'toilet paper', 'cake', 'ketchup', 'grated cheese', 'body spray', 'sandwich', 'cooking oil', 'frozen vegetables', 'light mayo', 'green grapes', 'oil', 'melons', 'cream', 'tooth brush', 'muffins']"
4009,4307304,"['cake', 'napkins', 'blueberries', 'mineral water', 'cooking oil', 'candy bars', 'oil', 'metroid prime', 'strawberries']"
4689,10418342,"['cake', 'spaghetti', 'oatmeal', 'cooking oil', 'candy bars', 'ratchet & clank 3', 'oil', 'cottage cheese', 'strong cheese']"
3663,2811221,"['soup', 'cake', 'bacon', 'yogurt cake', 'cooking oil', 'gums', 'candy bars', 'shallot', 'oatmeal', 'cookies']"
5133,3812943,"['fresh bread', 'cake', 'burgers', 'whole weat flour', 'cooking oil', 'minecraft', 'candy bars', 'barbecue sauce', 'oil', 'tooth brush', 'muffins']"
1246,5676034,"['fromage blanc', 'cake', 'mineral water', 'chili', 'oil', 'chocolate', 'oatmeal', 'muffins', 'metroid prime', 'strawberries']"
7720,4967237,"['spaghetti', 'cooking oil', 'asparagus', 'meatballs', 'shampoo', 'oil', 'razor', 'cream', 'black beer', 'muffins']"
4317,7302520,"['soup', 'portal', 'meatballs', 'rice', 'oil', 'cottage cheese', 'black beer']"
9268,2893632,"['eggs', 'cake', 'almonds', 'cider', 'yogurt cake', 'cooking oil', 'muffins', 'candy bars', 'barbecue sauce', 'megaman zero 4', 'salt', 'oil', 'ketchup']"
751,10888168,"['soup', 'cooking oil', 'muffins', 'gums', 'candy bars', 'oil', 'herb & pepper']"
