customer_id,invoice_id,list_of_goods
5641,10184068,"['pancakes', 'toilet paper', 'white wine', 'tomato sauce', 'cider', 'ground beef', 'yogurt cake', 'mashed potato', 'gluten free bar', 'light mayo', 'chili', 'oatmeal', 'cookies']"
1120,11965047,"['beer', 'white wine', 'pancakes', 'light cream', 'black beer', 'metroid prime', 'meatballs', 'candy bars', 'champagne', 'pasta', 'chili', 'final fantasy XX', 'french wine', 'red wine']"
2387,9425702,"['bramble', 'beer', 'white wine', 'spaghetti', 'extra dark chocolate', 'sandwich', 'cooking oil', 'energy bar', 'french wine', 'catfish']"
3730,5378015,"['bramble', 'white wine', 'fresh bread', 'pancakes', 'tomato sauce', 'chocolate bread', 'mint green tea', 'tomatoes', 'cider', 'chutney', 'metroid fusion', 'cooking oil', 'rice', 'low fat yogurt', 'dessert wine', 'chocolate', 'cottage cheese', 'ketchup']"
5583,1084015,"['bramble', 'beer', 'white wine', 'butter', 'chocolate bread', 'cider', 'corn', 'dessert wine', 'pokemon scarlet', 'energy drink']"
7707,10218869,"['soup', 'white wine', 'cider', 'gums', 'megaman zero 4', 'cottage cheese', 'strawberries']"
7315,3290419,"['white wine', 'grated cheese', 'butter', 'deodorant', 'cologne', 'megaman zero 3', 'zucchini', 'whole wheat pasta', 'light mayo', 'pepper', 'black beer']"
8996,4865784,"['white wine', 'parmesan cheese', 'burgers', 'portal', 'milk', 'pokemon violet', 'iPad', 'champagne', 'carrots', 'protein bar']"
1293,11435357,"['white wine', 'grated cheese', 'parmesan cheese', 'cider', 'carrots', 'cotton buds', 'low fat yogurt', 'gums', 'honey', 'dessert wine', 'shallot', 'chocolate', 'strong cheese']"
2977,6123676,"['bramble', 'eggs', 'white wine', 'light cream', 'cooking oil', 'mashed potato', 'water spray', 'ratchet & clank 3', 'salt', 'oatmeal', 'black beer', 'babies food']"
1945,2484251,"['beer', 'cake', 'fresh bread', 'deodorant', 'cider', 'ham', 'whole wheat pasta', 'rice', 'burger sauce', 'dessert wine', 'shampoo', 'pokemon scarlet']"
6325,4264038,"['spinach', 'pancakes', 'cake', 'white wine', 'shower gel', 'chocolate bread', 'ratchet & clank', 'gums', 'iPad', 'candy bars', 'nonfat milk', 'airpods', 'mayonnaise', 'cereals', 'eggplant']"
7429,1182946,"['toilet paper', 'cake', 'green beans', 'body spray', 'nonfat milk', 'phone car charger', 'oatmeal', 'samsung galaxy 10', 'strong cheese']"
955,5482127,"['spinach', 'white wine', 'cake', 'salad', 'brownies', 'nonfat milk', 'french wine', 'babies food']"
3043,1185060,"['cauliflower', 'whole weat flour', 'cider', 'hand protein bar', 'champagne', 'dessert wine', 'black beer', 'muffins', 'babies food']"
6135,7110407,"['soup', 'white wine', 'canned_tuna', 'whole weat flour', 'cider', 'honey', 'light mayo', 'soda', 'dessert wine', 'final fantasy XX', 'antioxydant juice', 'red wine']"
3625,1825083,"['beer', 'spaghetti', 'green tea', 'cider', 'gluten free bar', 'candy bars', 'champagne', 'shampoo', 'cookies', 'black beer', 'babies food']"
1395,5771550,"['white wine', 'black tea', 'extra dark chocolate', 'cider', 'corn', 'hand protein bar', 'dessert wine', 'fresh tuna', 'black beer', 'strawberries']"
8746,6419123,"['white wine', 'trout', 'cider', 'vacuum cleaner', 'yams', 'candy bars', 'champagne', 'dessert wine', 'chocolate']"
9221,9831893,"['beer', 'white wine', 'fromage blanc', 'corn', 'whole wheat pasta', 'dessert wine', 'portal 2', 'cream']"
6003,3110807,"['white wine', 'shower gel', 'extra dark chocolate', 'cider', 'red wine', 'carrots', 'water spray', 'gums', 'candy bars', 'champagne', 'dessert wine', 'babies food']"
182,5779037,"['beer', 'white wine', 'toilet paper', 'butter', 'black tea', 'cooking oil', 'iMac', 'airpods', 'dessert wine', 'chocolate', 'green tea']"
3778,4166693,"['bramble', 'white wine', 'toilet paper', 'fromage blanc', 'cologne', 'turkey', 'airpods', 'dessert wine', 'red wine']"
4598,7834431,"['white wine', 'fromage blanc', 'napkins', 'bacon', 'cider', 'gluten free bar', 'meatballs', 'dessert wine', 'shampoo', 'airpods', 'mint', 'razor']"
