customer_id,invoice_id,list_of_goods
9995,6855482,"['bramble', 'beer', 'white wine', 'almonds', 'half-life: alyx', 'cauliflower', 'cider', 'yogurt cake', 'champagne', 'chili', 'soda', 'black beer', 'catfish']"
7830,10330249,"['olive oil', 'deodorant', 'whole weat flour', 'chutney', 'escalope', 'gums', 'rice', 'airpods', 'oil', 'cookies', 'muffins', 'laptop']"
7275,5880327,"['beer', 'white wine', 'flax seed', 'laptop', 'pickles', 'half-life: alyx', 'cider', 'mineral water', 'tooth brush', 'champagne', 'dessert wine', 'fresh tuna', 'cottage cheese', 'french wine', 'red wine']"
887,3941217,"['bramble', 'soup', 'ketchup', 'napkins', 'cooking oil', 'zucchini', 'shallot', 'oil', 'cookies', 'muffins']"
9869,11059490,"['bramble', 'white wine', 'cider', 'cotton buds', 'honey', 'candy bars', 'french wine', 'red wine', 'strawberries']"
1907,7171758,"['seabass', 'bramble', 'white wine', 'tomato sauce', 'shower gel', 'champagne', 'dessert wine', 'airpods', 'salmon', 'black beer']"
2164,9007453,"['tomato sauce', 'napkins', 'fromage blanc', 'cake', 'spaghetti', 'ground beef', 'cooking oil', 'cotton buds', 'turkey', 'rice', 'candy bars']"
8015,2343118,"['pet food', 'soup', 'cake', 'olive oil', 'parmesan cheese', 'french fries', 'mineral water', 'hot dogs', 'gums', 'oil', 'muffins']"
5683,817328,"['soup', 'cake', 'butter', 'french fries', 'sandwich', 'frozen vegetables', 'candy bars', 'oil', 'cottage cheese', 'cereals']"
9488,1827295,"['chocolate', 'turkey', 'cooking oil', 'light cream']"
5462,7919153,"['seabass', 'spinach', 'white wine', 'energy drink', 'dessert wine', 'samsung galaxy 10', 'chili', 'black beer', 'red wine']"
1509,7416746,"['fromage blanc', 'napkins', 'blueberries', 'cologne', 'sparkling water', 'cooking oil', 'pokemon violet', 'hot dogs', 'rice', 'candy bars', 'oil', 'phone car charger', 'red wine', 'toothpaste']"
3794,10370441,"['white wine', 'google tablet', 'laptop', 'black tea', 'mint green tea', 'cider', 'metroid fusion', 'bluetooth headphones', 'iphone 8', 'candy bars', 'dessert wine', 'phone charger', 'black beer', 'red wine']"
9081,478313,"['bramble', 'beer', 'white wine', 'pancakes', 'trout', 'seabass', 'cider', 'iMac', 'dessert wine', 'portal 2']"
7702,9297198,"['olive oil', 'butter', 'deodorant', 'cooking oil', 'cotton buds', 'iphone 8', 'gums', 'oil', 'final fantasy XXII', 'muffins']"
6334,2564959,"['fresh bread', 'shower gel', 'napkins', 'meatballs', 'oil', 'final fantasy XXII', 'tooth brush', 'muffins']"
6714,1292365,"['beer', 'white wine', 'cider', 'frozen vegetables', 'pokemon violet', 'low fat yogurt', 'phone car charger', 'phone charger', 'samsung galaxy 10', 'red wine']"
27,3477762,"['bramble', 'white wine', 'cologne', 'iphone 8', 'salmon', 'cream', 'samsung galaxy 10', 'strong cheese', 'protein bar']"
7812,8505431,"['eggs', 'catfish', 'avocado', 'parmesan cheese', 'chocolate bread', 'french fries', 'cooking oil', 'cookies', 'muffins']"
8278,1317340,"['soup', 'toilet paper', 'fresh bread', 'spaghetti', 'napkins', 'cooking oil', 'candy bars', 'airpods', 'shampoo', 'oil', 'cereals']"
4731,5555787,"['ketchup', 'cake', 'olive oil', 'extra dark chocolate', 'avocado', 'whole weat flour', 'cooking oil', 'yams', 'candy bars', 'burger sauce', 'oil', 'oatmeal', 'razor', 'tea', 'muffins']"
