customer_id,invoice_id,list_of_goods
4403,3797086,"['flax seed', 'tomatoes', 'zucchini', 'mashed potato', 'asparagus', 'meatballs', 'candy bars', 'chocolate', 'cream', 'tooth brush', 'carrots', 'toothpaste']"
5269,9935046,"['flax seed', 'tomatoes', 'avocado', 'asparagus', 'salad', 'shallot', 'pasta', 'green grapes', 'final fantasy XX', 'carrots']"
6864,4257923,"['shower gel', 'green tea', 'avocado', 'whole wheat rice', 'burgers', 'laptop', 'zucchini', 'asparagus', 'meatballs', 'shallot', 'soda', 'green grapes', 'cauliflower', 'carrots']"
229,1213247,"['shower gel', 'tomatoes', 'extra dark chocolate', 'zucchini', 'pokemon sword', 'asparagus', 'salad', 'vegetables mix', 'shampoo', 'cauliflower', 'antioxydant juice', 'carrots']"
5400,9123857,"['chicken', 'google tablet', 'tomatoes', 'blueberries', 'vacuum cleaner', 'asparagus', 'shallot', 'melons', 'salmon', 'final fantasy XXII', 'cauliflower', 'carrots']"
2046,3152090,"['ground beef', 'mineral water', 'shrimp', 'mashed potato', 'gluten free bar', 'metroid prime', 'green grapes', 'ketchup', 'carrots', 'toothpaste']"
2399,5511570,"['pokemon shield', 'tomatoes', 'cologne', 'frozen smoothie', 'final fantasy XX', 'asparagus', 'gums', 'iPad', 'melons', 'antioxydant juice', 'carrots']"
7176,11597936,"['chicken', 'flax seed', 'tomato juice', 'tomatoes', 'mint green tea', 'avocado', 'bacon', 'ham', 'asparagus', 'ratchet & clank 3', 'melons', 'cauliflower', 'carrots']"
3283,4039724,"['beer', 'tomatoes', 'frozen smoothie', 'milk', 'asparagus', 'megaman zero 4', 'razor', 'cauliflower']"
290,10219186,"['tomatoes', 'avocado', 'green beans', 'ground beef', 'mashed potato', 'asparagus', 'shallot', 'green grapes', 'strawberries']"
705,1901686,"['pokemon shield', 'light cream', 'green beans', 'frozen smoothie', 'ham', 'frozen vegetables', 'asparagus', 'pasta', 'phone car charger', 'green tea', 'carrots', 'toothpaste']"
5352,6179288,"['tomatoes', 'cologne', 'cotton buds', 'whole wheat pasta', 'shampoo', 'oatmeal']"
4200,2395518,"['tomatoes', 'pickles', 'green beans', 'cooking oil', 'minecraft', 'mashed potato', 'asparagus', 'shallot', 'oil', 'mint', 'herb & pepper', 'strawberries']"
9738,8815950,"['flax seed', 'tomatoes', 'spaghetti', 'avocado', 'green beans', 'megaman zero 3', 'mashed potato', 'asparagus', 'shallot', 'light mayo', 'portal 2', 'mayonnaise', 'cereals']"
1967,1852202,"['spinach', 'shower gel', 'whole weat flour', 'turkey', 'water spray', 'shallot', 'low fat yogurt', 'airpods', 'fresh tuna', 'mint', 'final fantasy XX', 'french wine']"
3444,6164741,"['tomatoes', 'frozen vegetables', 'shampoo', 'pepper', 'melons']"
6888,5651179,"['tomatoes', 'mashed potato', 'asparagus', 'iPad', 'cauliflower', 'herb & pepper', 'carrots', 'strawberries']"
10477,3821096,"['tomatoes', 'green beans', 'hot dogs', 'mayonnaise', 'salmon', 'mint', 'melons', 'escalope']"
2661,5617411,"['fromage blanc', 'tomatoes', 'green beans', 'asparagus', 'salad', 'ratchet & clank 3', 'melons', 'cauliflower', 'carrots']"
2501,8590536,"['shower gel', 'cologne', 'cider', 'toothpaste', 'frozen vegetables', 'escalope', 'asparagus', 'final fantasy XXII', 'herb & pepper', 'carrots', 'strawberries']"
