customer_id,invoice_id,list_of_goods
10060,3614116,"['fromage blanc', 'olive oil', 'tomato sauce', 'avocado', 'megaman zero 2', 'cooking oil', 'iPad', 'shampoo', 'oil', 'green tea']"
4817,3988201,"['bramble', 'tomato sauce', 'burgers', 'body spray', 'cooking oil', 'water spray', 'gums', 'candy bars', 'pasta', 'oil', 'ketchup']"
7913,5498256,"['cake', 'olive oil', 'tomatoes', 'milk', 'gums', 'oil', 'cereals', 'red wine']"
7896,725683,"['bacon', 'candy bars', 'cooking oil', 'green beans']"
5283,11758907,"['pokemon shield', 'cake', 'grated cheese', 'butter', 'french fries', 'pokemon violet', 'asparagus', 'rice', 'gums', 'candy bars', 'burger sauce', 'oil']"
2174,11770646,"['ketchup', 'white wine', 'napkins', 'tooth brush', 'candy bars', 'iPad', 'oil', 'final fantasy XXII', 'chicken', 'muffins', 'toothpaste']"
9687,10920107,"['pet food', 'green beans', 'yogurt cake', 'carrots', 'candy bars', 'chili', 'green grapes', 'oil', 'final fantasy XXII', 'babies food', 'strawberries']"
5319,5147988,"['soup', 'cake', 'google tablet', 'french fries', 'cooking oil', 'zucchini', 'rice', 'candy bars', 'iPad', 'pasta', 'soda', 'oil', 'pokemon scarlet', 'herb & pepper', 'strawberries']"
9196,2351011,"['cake', 'napkins', 'olive oil', 'oatmeal', 'cooking oil', 'gums', 'brownies', 'shampoo', 'oil', 'cottage cheese', 'cookies', 'muffins']"
10414,9532547,"['soup', 'whole wheat rice', 'napkins', 'french fries', 'body spray', 'cooking oil', 'mineral water', 'rice', 'oil', 'razor', 'chicken']"
5778,729601,"['soup', 'tomato sauce', 'rice', 'candy bars', 'gums', 'soda', 'oil', 'portal 2', 'muffins']"
1826,4841808,"['toilet paper', 'cake', 'olive oil', 'fresh bread', 'whole wheat rice', 'ground beef', 'cooking oil', 'zucchini', 'gums', 'soda', 'oil', 'muffins']"
9033,3598664,"['fresh bread', 'olive oil', 'pickles', 'final fantasy XIX', 'oil', 'cereals', 'muffins', 'strong cheese']"
2247,6321688,"['cake', 'napkins', 'shower gel', 'ratchet & clank 2', 'megaman zero 3', 'cooking oil', 'melons', 'candy bars', 'pasta', 'oil', 'mayonnaise', 'muffins']"
1592,4522412,"['olive oil', 'water spray', 'gums', 'candy bars', 'oil', 'ketchup', 'babies food']"
9417,5723560,"['bramble', 'soup', 'fromage blanc', 'frozen smoothie', 'cooking oil', 'gums', 'candy bars', 'oil', 'cereals']"
4271,2344237,"['ketchup', 'cake', 'half-life: alyx', 'ham', 'cooking oil', 'frozen vegetables', 'iMac', 'muffins', 'brownies', 'shampoo', 'oil', 'tooth brush', 'cereals', 'toothpaste']"
2539,9584782,"['spaghetti', 'napkins', 'pickles', 'hot dogs', 'candy bars', 'oil']"
474,3421805,"['toilet paper', 'whole wheat rice', 'shower gel', 'french fries', 'metroid fusion', 'cooking oil', 'salad', 'barbecue sauce', 'salt', 'oil', 'cream', 'babies food']"
7473,4469048,"['tomato juice', 'cake', 'mint green tea', 'whole wheat rice', 'shower gel', 'spaghetti', 'sandwich', 'mashed potato', 'candy bars']"
4205,4281191,"['seabass', 'cake', 'grated cheese', 'megaman zero 2', 'cooking oil', 'milk', 'light mayo', 'dessert wine', 'cereals']"
283,865530,"['soup', 'toilet paper', 'cake', 'napkins', 'tomato sauce', 'bacon', 'cooking oil', 'muffins', 'rice', 'candy bars', 'oil', 'cottage cheese', 'cereals', 'herb & pepper']"
9117,11315925,"['cake', 'olive oil', 'fresh bread', 'french fries', 'cooking oil', 'turkey', 'oil', 'muffins']"
6355,8356943,"['cake', 'deodorant', 'french fries', 'body spray', 'yogurt cake', 'minecraft', 'hand protein bar', 'rice', 'candy bars', 'oil', 'tea', 'cereals', 'babies food']"
9295,10109093,"['pet food', 'white wine', 'toilet paper', 'spaghetti', 'cooking oil', 'gums', 'candy bars', 'oil', 'cookies', 'cereals', 'energy drink']"
509,9302040,"['soup', 'eggs', 'toilet paper', 'light cream', 'cooking oil', 'gums', 'oil', 'cream', 'ketchup']"
8973,2774026,"['pet food', 'tomato sauce', 'fromage blanc', 'mint green tea', 'blueberries', 'french fries', 'sandwich', 'mashed potato', 'muffins', 'candy bars', 'oil', 'ketchup', 'babies food']"
9878,874767,"['spinach', 'cake', 'napkins', 'grated cheese', 'french fries', 'cooking oil', 'rice', 'gums', 'champagne', 'megaman zero 4', 'oil']"
7559,9242241,"['pet food', 'cake', 'butter', 'half-life: alyx', 'black beer', 'burgers', 'cooking oil', 'milk', 'gums', 'nonfat milk', 'oil', 'pokemon scarlet', 'salmon', 'french wine']"
4115,5055306,"['toilet paper', 'cake', 'napkins', 'butter', 'shower gel', 'cooking oil', 'frozen vegetables', 'hand protein bar', 'gums', 'beats headphones', 'oil', 'ketchup']"
5825,8279888,"['gums', 'fresh bread', 'napkins', 'oil']"
7096,10926199,"['cooking oil', 'shrimp', 'muffins', 'candy bars', 'burger sauce', 'oil', 'oatmeal', 'salmon', 'ketchup', 'babies food']"
8726,7444429,"['napkins', 'cooking oil', 'asparagus', 'candy bars', 'chili', 'oil', 'oatmeal', 'cream']"
8713,5675514,"['soup', 'cake', 'spaghetti', 'butter', 'deodorant', 'final fantasy XIX', 'body spray', 'french fries', 'meatballs', 'pasta', 'babies food']"
3221,7220012,"['soup', 'cake', 'napkins', 'tomatoes', 'tomato sauce', 'grated cheese', 'hand protein bar', 'meatballs', 'muffins', 'oil', 'portal 2', 'ketchup']"
7596,10388370,"['megaman zero', 'avocado', 'blueberries', 'whole weat flour', 'french fries', 'cooking oil', 'candy bars', 'ratchet & clank 3', 'oil', 'final fantasy XX']"
8048,7016146,"['soup', 'fresh bread', 'cake', 'burgers', 'frozen smoothie', 'yogurt cake', 'cooking oil', 'hot dogs', 'turkey', 'gums', 'soda', 'cereals', 'babies food']"
